Country,Company name,Company type,Location(of the job),Location(of the company),Salary,Salary/m（💲）,Major requirements（None/ High school diploma /college degree/Bachelor degree ）,needed skills,rotate days off,Shift hours,Insurance,Psychological help,Declaimer ,website
Canada,Majorel,Customer Experience Management,"Waterloo, ON,Ca",,15$ an hour,3360$ max,none,"Fluency in written and spoken English/
Proven ability to deliver highest quality results while paying strict attention to detail./
Ability to work in a fast paced environment with high volume and complex demands./
Advanced MS Excel and Word skills coupled with exceptional attention to detail and a proven ability to quickly learn new tools./
If required by project: Strong knowledge of national and international political, historical and social news and figures in the media./
",none,none,none,non,"Resiliency: Ability to view content that may be offensive, strong or abhorrent, with understanding.
Comfortable with and understand that the job requires reviewing internet content that may be deemed inappropriate and/or contain explicit material.",https://ca.indeed.com/jobs?q=content%20moderator&l=canada&vjk=7934df38cfae6668
Canada,Majorel,Customer Experience Management,"Waterloo, ON,Ca",,15$ an hour,3360$ max,BA/BS,"Fluency in written and spoken English/
Proven ability to deliver highest quality results while paying strict attention to detail./
Ability to work in a fast paced environment with high volume and complex demands./
Advanced MS Excel and Word skills coupled with exceptional attention to detail and a proven ability to quickly learn new tools./
If required by project: Strong knowledge of national and international political, historical and social news and figures in the media./
",none,none,none,non,"Resiliency: Ability to view content that may be offensive, strong or abhorrent, with understanding.
Comfortable with and understand that the job requires reviewing internet content that may be deemed inappropriate and/or contain explicit material.",https://ca.indeed.com/jobs?q=content%20moderator&l=canada&vjk=8a067786f8a4ad1c
Canada,Majorel,Customer Experience Management,"Waterloo, ON,Ca",,22$ an hour,4928$ max,BA/BS,"Fluency in written and spoken English/
Proven ability to deliver highest quality results while paying strict attention to detail./
Ability to work in a fast paced environment with high volume and complex demands./
Advanced MS Excel and Word skills coupled with exceptional attention to detail and a proven ability to quickly learn new tools./
If required by project: Strong knowledge of national and international political, historical and social news and figures in the media./
",none,none,none,non,"Resiliency: Ability to view content that may be offensive, strong or abhorrent, with understanding.
Comfortable with and understand that the job requires reviewing internet content that may be deemed inappropriate and/or contain explicit material.",https://ca.indeed.com/jobs?q=content%20moderator&l=canada&vjk=5f5bafc495ccccc0
Canada,Majorel,Customer Experience Management,"Waterloo, ON,Ca",,none,none,none,"Fluency in written and spoken English/
Proven ability to deliver highest quality results while paying strict attention to detail./
Ability to work in a fast paced environment with high volume and complex demands./
Advanced MS Excel and Word skills coupled with exceptional attention to detail and a proven ability to quickly learn new tools./
If required by project: Strong knowledge of national and international political, historical and social news and figures in the media./
",none,none,none,non,"Resiliency: Ability to view content that may be offensive, strong or abhorrent, with understanding.
Comfortable with and understand that the job requires reviewing internet content that may be deemed inappropriate and/or contain explicit material.",https://ca.indeed.com/jobs?q=content%20moderator&l=canada&vjk=7934df38cfae6668
India,Roposo,internet,"Gurgaon,india",India,none,none,Bachelor,"languge,",none,none,none,non,none,none
India,Foiwe Info Global Solutions,software,"Bengaluru,india",India,none,none,Bachelor(Engineering/computer/Master of Computer Applications),Communication/mangement ,none,none,none,non,none,https://www.naukri.com/job-listings-content-moderators-foiwe-info-global-solutions-bengaluru-bangalore-1-to-5-years-010318500417?src=jobsearchDesk&sid=16050690538005259&xp=2&px=1
India,Foiwe Info Global Solutions,software,"Bengaluru,india",India,none,none,Bachelor(Engineering/computer/Master of Computer Applications),Communication/mangement ,none,none,none,non,none,https://www.naukri.com/job-listings-content-moderators-foiwe-info-global-solutions-bengaluru-bangalore-2-to-7-years-230715501306?src=jobsearchDesk&sid=16050690538005259&xp=3&px=1
India,Smart Steps HR Services,human re,"Bengaluru,india",India,16 k to 20 k.,none,Bachelor(commerce/Engineering/computer/Master of Computer Applications),customer/problem solving/,none,none,none,non,none,none
India,Google/Cognizant Technologies Solutions,Technology ,"Delhi NCR, Delhi, Gurgaon,india",America,none,none,Bachelor,communication/mangement /text editing/data analyze/,none,none,none,non,none,https://www.naukri.com/job-listings-content-moderator-work-from-home-smart-steps-hr-services-gurgaon-0-to-4-years-160920005858?src=jobsearchDesk&sid=16050690538005259&xp=5&px=1
India,Floating Numbers Digital Solutions Pvt. Ltd.,internet,"Kolkata,india",India,none,none,Bachelor,detail attention/judgment/communication/language/pc/respensibility/,none,none,none,non,none,https://www.naukri.com/job-listings-cognizant-hiring-content-moderator-graduate-fresher-can-apply-symbolic-statement-delhi-ncr-delhi-gurgaon-0-to-1-years-150420005589?src=jobsearchDesk&sid=16050690538005259&xp=6&px=1
